source,target,repository,tag,digest,pushedAt,lastRecordedPullTime,sizeBytes
registry.k8s.io/coredns/coredns:v1.13.2,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/coredns/coredns:v1.13.2,registryk8sio/coredns/coredns,v1.13.2,sha256:94caebb89dcfb9d2c4be45bfda34410a3e1092458fbbbc0284365c9e4c9a7818,2026-06-10T01:48:48.289000+00:00,2026-06-11T06:42:42.703000+00:00,23670533
registry.k8s.io/coredns/coredns:v1.14.3,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/coredns/coredns:v1.14.3,registryk8sio/coredns/coredns,v1.14.3,sha256:884b72dd6d2f7d367902af420605e0288dffedb0516ce29330423ae3f8f5c6fa,2026-06-10T01:50:34.920000+00:00,2026-06-11T07:14:42.248000+00:00,23538037
registry.k8s.io/ingress-nginx/controller:v1.14.5,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/ingress-nginx/controller:v1.14.5,registryk8sio/ingress-nginx/controller,v1.14.5,sha256:af3312d040dbe8d503001a1094b248e8be372f70f317a4bc35f81fb312bff3a8,2026-06-10T01:49:40.410000+00:00,2026-06-11T06:42:42.824000+00:00,115970005
registry.k8s.io/ingress-nginx/controller:v1.15.1,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/ingress-nginx/controller:v1.15.1,registryk8sio/ingress-nginx/controller,v1.15.1,sha256:594ceea76b01c592858f803f9ff4d2cb40542cae2060410b2c95f75907d659e1,2026-06-10T01:50:14.928000+00:00,2026-06-11T07:14:42.277000+00:00,115970021
registry.k8s.io/kube-proxy:v1.35.5,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/kube-proxy:v1.35.5,registryk8sio/kube-proxy,v1.35.5,sha256:e0e870b4d819cdd2999bfd223c64342d1533851e3a36f63a8bce1919e51e3904,2026-06-10T01:50:25.590000+00:00,2026-06-11T07:14:42.498000+00:00,25696735
registry.k8s.io/kube-proxy:v1.36.1,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/kube-proxy:v1.36.1,registryk8sio/kube-proxy,v1.36.1,sha256:a96b6e12863ef766d18f69afaad7a5329220c37ce21cb232bcb58362d284f3f7,2026-06-10T01:49:19.999000+00:00,2026-06-11T06:42:42.937000+00:00,28851001
registry.k8s.io/metrics-server/metrics-server:v0.7.2,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/metrics-server/metrics-server:v0.7.2,registryk8sio/metrics-server/metrics-server,v0.7.2,sha256:ffcb2bf004d6aa0a17d90e0247cf94f2865c8901dcab4427034c341951c239f9,2026-06-10T01:48:54.803000+00:00,2026-06-11T07:14:42.480000+00:00,19490074
registry.k8s.io/metrics-server/metrics-server:v0.8.1,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/metrics-server/metrics-server:v0.8.1,registryk8sio/metrics-server/metrics-server,v0.8.1,sha256:b2d2efaf5ac3b366ed0f839d2412a2c4279d4fc2a2a733f12c52133faed36c41,2026-06-10T01:49:08.840000+00:00,2026-06-11T07:14:42.404000+00:00,22545264
registry.k8s.io/pause:3.10.2,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/pause:3.10.2,registryk8sio/pause,3.10.2,sha256:f548e0e8e3dc1896ca956272154dde3314e8cc4fde0a57577ee9fa1c63f5baf4,2026-06-10T01:50:50.202000+00:00,2026-06-11T07:14:42.539000+00:00,196109583
registry.k8s.io/pause:3.9,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/registryk8sio/pause:3.9,registryk8sio/pause,3.9,sha256:7031c1b283388d2c2e09b57badb803c05ebed362dc88d84b480cc47f72a21097,2026-06-09T08:17:03.053000+00:00,2026-06-11T06:42:42.703000+00:00,307636494
ruby:3.4.9,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/ruby:3.4.9,dockerhub/library/ruby,3.4.9,sha256:439b61ca7ef0e20da3848a2d53a7ef9970018517c7cfacd1ab234964c9887b1a,2026-06-11T01:28:48.230000+00:00,,501410242
ruby:3.4.9-alpine3.24,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/ruby:3.4.9-alpine3.24,dockerhub/library/ruby,3.4.9-alpine3.24,sha256:810119abf153eb04b0c837d47780ebaf2133cbd5a3de83497f6b8dc036cc148b,2026-06-11T06:48:31.004000+00:00,,46271999
ruby:4.0.5,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/ruby:4.0.5,dockerhub/library/ruby,4.0.5,sha256:bd5075f77ac998fa5b61e37842717d1a29482b0e02ab74e2a2a8ae371d121b32,2026-06-11T01:27:48.938000+00:00,,507603792
ruby:4.0.5-alpine3.24,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/ruby:4.0.5-alpine3.24,dockerhub/library/ruby,4.0.5-alpine3.24,sha256:130af23e14f6884c833b2a37d2431e460f94a00af76f2afafd610800054f14a4,2026-06-11T02:38:00.486000+00:00,,53136163
rust:1.95.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/rust:1.95.0,dockerhub/library/rust,1.95.0,sha256:f49565f188ee00bc2a18dd418183f2c5f23ef7d6e691890517ed341a598f67c3,2026-06-11T03:24:32.859000+00:00,,730821472
rust:1.95.0-alpine3.22,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/rust:1.95.0-alpine3.22,dockerhub/library/rust,1.95.0-alpine3.22,sha256:064dfc925d68d1a63f4fd2871bd7dc6e6ea56692989a487185855d62885d90aa,2026-06-11T01:23:32.871000+00:00,,357924578
rust:1.96.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/rust:1.96.0,dockerhub/library/rust,1.96.0,sha256:fb328f0f58becb23ba1719940a2c94ece8b0b48afa837d05b79ef64bc1e18f6e,2026-06-11T01:20:30.767000+00:00,,731757895
rust:1.96.0-alpine3.24,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/rust:1.96.0-alpine3.24,dockerhub/library/rust,1.96.0-alpine3.24,sha256:33578e16b6e0e87babdb3ad572074ff32b62d10df02d1910ebfa24b2437e9e92,2026-06-11T01:25:26.549000+00:00,,349476738
traefik:v3.6.20,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/traefik:v3.6.20,dockerhub/library/traefik,v3.6.20,sha256:cc1799c50550f730f686df9b368e690f9199542787db8d1dd328a7c3779f6eea,2026-06-10T02:28:22.650000+00:00,2026-06-10T15:01:45.343000+00:00,53221653
traefik:v3.6.21,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/traefik:v3.6.21,dockerhub/library/traefik,v3.6.21,sha256:e9ad2ada010742d2f91586a56f9ebb8355a2ceae7fb2973ef1c1877c7890e176,2026-06-11T01:18:12.426000+00:00,,53220846
traefik:v3.7.4,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/traefik:v3.7.4,dockerhub/library/traefik,v3.7.4,sha256:fcdef599e6259359833dd2e1d49f9e964f66825d69bd3dd468f51102ce013d03,2026-06-10T02:28:23.065000+00:00,2026-06-10T15:01:45.342000+00:00,53014360
traefik:v3.7.5,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/traefik:v3.7.5,dockerhub/library/traefik,v3.7.5,sha256:d6858791f9e74df44ca4014166647c41cdc2abd3bf2a71b832ca4e1c6a91b257,2026-06-11T01:18:11.529000+00:00,,53018330
ubuntu:25.10,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/ubuntu:25.10,dockerhub/library/ubuntu,25.10,sha256:4a9232cc47bf99defcc8860ef6222c99773330367fcecbf21ba2edb0b810a31e,2026-06-10T02:13:39.456000+00:00,2026-06-10T15:01:44.369000+00:00,39599221
ubuntu:26.04,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/ubuntu:26.04,dockerhub/library/ubuntu,26.04,sha256:f3d28607ddd78734bb7f71f117f3c6706c666b8b76cbff7c9ff6e5718d46ff64,2026-06-10T02:09:18.654000+00:00,2026-06-10T15:01:44.383000+00:00,46601850
