source,target,repository,tag,digest,pushedAt,lastRecordedPullTime,sizeBytes
mysql:9.6.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/mysql:9.6.0,dockerhub/library/mysql,9.6.0,sha256:c5df04bee1a42b74a5841c6409e669cf62126cd0416f00c1cea8ab933b9361b9,2026-06-11T01:23:45.175000+00:00,,266350591
mysql:9.7.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/mysql:9.7.0,dockerhub/library/mysql,9.7.0,sha256:c11782aa2a96624c1efc121768641d96954faa136d6aa82751b032d8c426ffbc,2026-06-11T01:23:47.540000+00:00,,273452611
nginx:1.26,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/nginx:1.26,dockerhub/library/nginx,1.26,sha256:41b194461e4bae16f9b25d68b0976ed4735b89ca625c89aad88e1c1c3b7e8860,2026-06-11T08:05:01.265000+00:00,,76852223
nginx:1.26-alpine,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/nginx:1.26-alpine,dockerhub/library/nginx,1.26-alpine,sha256:1eadbb07820339e8bbfed18c771691970baee292ec4ab2558f1453d26153e22d,2026-06-11T08:08:07.090000+00:00,,21624376
nginx:1.27,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/nginx:1.27,dockerhub/library/nginx,1.27,sha256:6784fb0834aa7dbbe12e3d7471e69c290df3e6ba810dc38b34ae33d3c1c05f7d,2026-06-11T07:41:55.016000+00:00,2026-06-11T08:00:44.544000+00:00,77121153
nginx:1.27-alpine,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/nginx:1.27-alpine,dockerhub/library/nginx,1.27-alpine,sha256:65645c7bb6a0661892a8b03b89d0743208a18dd2f3f17a54ef4b76fb8e2f2a10,2026-06-11T08:06:46.737000+00:00,,21819411
nginx:1.30.2,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/nginx:1.30.2,dockerhub/library/nginx,1.30.2,sha256:b7007b48d6cdc82e6e6cd02f7cd1b8fc4244d09369ec717a3de33c97275ae479,2026-06-11T06:44:20.590000+00:00,,67211377
nginx:1.30.2-alpine3.23,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/nginx:1.30.2-alpine3.23,dockerhub/library/nginx,1.30.2-alpine3.23,sha256:5f979dcfed4ce6461873f087e8c980d6e29b084b9e8776d9704a7e989b5f4898,2026-06-10T02:17:57.036000+00:00,2026-06-10T15:01:44.821000+00:00,26331317
nginx:1.31.1,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/nginx:1.31.1,dockerhub/library/nginx,1.31.1,sha256:94ef2bdc0b32e45530840de5e08a5856429322546a45d6cea21609890af5b635,2026-06-11T06:43:46.171000+00:00,,67231966
nginx:1.31.1-alpine3.23,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/nginx:1.31.1-alpine3.23,dockerhub/library/nginx,1.31.1-alpine3.23,sha256:8b1e78743a03dbb2c95171cc58639fef29abc8816598e27fb910ed2e621e589a,2026-06-10T02:09:42.419000+00:00,2026-06-10T15:01:44.707000+00:00,26343351
node:24.16.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/node:24.16.0,dockerhub/library/node,24.16.0,sha256:67315b644853746f2adc8350dbc70a0534e1b891856e3c628967c7d422b84438,2026-06-11T07:31:57.457000+00:00,2026-06-11T07:59:52.601000+00:00,425388143
node:24.16.0-alpine3.23,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/node:24.16.0-alpine3.23,dockerhub/library/node,24.16.0-alpine3.23,sha256:2bdb65ed1dab192432bc31c95f94155ca5ad7fc1392fb7eb7526ab682fa5bf14,2026-06-10T15:03:26.071000+00:00,,58466136
node:26.3.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/node:26.3.0,dockerhub/library/node,26.3.0,sha256:c4bbb5e46650427e169612556fe594770fc86bfc4284da513cfe8e7f166a8f59,2026-06-11T07:32:15.259000+00:00,2026-06-11T07:59:52.632000+00:00,449952629
node:26.3.0-alpine3.23,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/node:26.3.0-alpine3.23,dockerhub/library/node,26.3.0-alpine3.23,sha256:144769ec3f32e8ee36b3cfde91e82bee25d9367b20f31a151f3f7eea3a2a8541,2026-06-10T15:04:00.487000+00:00,,63716122
node:26.3.0-alpine3.24,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/node:26.3.0-alpine3.24,dockerhub/library/node,26.3.0-alpine3.24,sha256:3ad34ca6292aec4a91d8ddeb9229e29d9c2f689efd0dd242860889ac71842eba,2026-06-11T01:17:16.765000+00:00,,63522630
